Date,close,location
2021-04-30,12731.13,New Zealand
2021-04-29,12715.2,New Zealand
2021-04-28,12646.14,New Zealand
2021-04-27,12620.52,New Zealand
2021-04-23,12650.64,New Zealand
2021-04-22,12577.48,New Zealand
2021-04-21,12535.34,New Zealand
2021-04-20,12678.55,New Zealand
2021-04-19,12767.83,New Zealand
2021-04-16,12684.73,New Zealand
2021-04-15,12636.55,New Zealand
2021-04-14,12751.38,New Zealand
2021-04-13,12656.42,New Zealand
2021-04-12,12518.71,New Zealand
2021-04-09,12574.35,New Zealand
2021-04-08,12632.6,New Zealand
2021-04-07,12487.59,New Zealand
2021-04-06,12400.48,New Zealand
2021-04-01,12488.31,New Zealand
2021-03-31,12560.7,New Zealand
2021-03-30,12446.76,New Zealand
2021-03-29,12368.13,New Zealand
2021-03-26,12348.83,New Zealand
2021-03-25,12388.06,New Zealand
2021-03-24,12358.88,New Zealand
2021-03-23,12394.34,New Zealand
2021-03-22,12329.09,New Zealand
2021-03-19,12515.22,New Zealand
2021-03-18,12496.14,New Zealand
2021-03-17,12622.21,New Zealand
2021-03-16,12689.05,New Zealand
2021-03-15,12592.26,New Zealand
2021-03-12,12426.77,New Zealand
2021-03-11,12272.48,New Zealand
2021-03-10,12251.9,New Zealand
2021-03-09,12145.15,New Zealand
2021-03-08,12085.18,New Zealand
2021-03-05,12180.25,New Zealand
2021-03-04,12224.5,New Zealand
2021-03-03,12359.26,New Zealand
2021-03-02,12344.49,New Zealand
2021-03-01,12301.81,New Zealand
2021-02-26,12227.29,New Zealand
2021-02-25,12140.66,New Zealand
2021-02-24,12282.42,New Zealand
2021-02-23,12388.84,New Zealand
2021-02-22,12426.24,New Zealand
2021-02-19,12548.63,New Zealand
2021-02-18,12633.6,New Zealand
2021-02-17,12673.97,New Zealand
2021-02-16,12610.72,New Zealand
2021-02-15,12510.56,New Zealand
2021-02-12,12589.64,New Zealand
2021-02-11,12761.13,New Zealand
2021-02-10,12830.03,New Zealand
2021-02-09,12927.69,New Zealand
2021-02-05,13053.87,New Zealand
2021-02-04,12992.14,New Zealand
2021-02-03,13091.21,New Zealand
2021-02-02,13044.5,New Zealand
2021-02-01,13097.25,New Zealand
2021-01-29,13127.29,New Zealand
2021-01-28,13086.46,New Zealand
2021-01-27,13374.0,New Zealand
2021-01-26,13323.46,New Zealand
2021-01-25,13399.1,New Zealand
2021-01-22,13333.43,New Zealand
2021-01-21,13112.19,New Zealand
2021-01-20,13026.45,New Zealand
2021-01-19,12881.31,New Zealand
2021-01-18,12838.36,New Zealand
2021-01-15,13024.69,New Zealand
2021-01-14,13115.87,New Zealand
2021-01-13,13120.28,New Zealand
2021-01-12,13183.69,New Zealand
2021-01-11,13290.09,New Zealand
2021-01-08,13558.19,New Zealand
2021-01-07,13485.67,New Zealand
2021-01-06,13333.93,New Zealand
2021-01-05,13367.65,New Zealand
2020-12-31,13091.64,New Zealand
2020-12-30,13217.14,New Zealand
2020-12-29,13246.77,New Zealand
2020-12-24,13037.94,New Zealand
2020-12-23,13020.21,New Zealand
2020-12-22,12842.69,New Zealand
2020-12-21,12607.74,New Zealand
2020-12-18,12682.0,New Zealand
2020-12-17,12888.77,New Zealand
2020-12-16,12828.99,New Zealand
2020-12-15,12767.17,New Zealand
2020-12-14,12835.12,New Zealand
2020-12-11,12919.25,New Zealand
2020-12-10,12860.37,New Zealand
2020-12-09,12889.4,New Zealand
2020-12-08,12719.59,New Zealand
2020-12-07,12656.02,New Zealand
2020-12-04,12631.38,New Zealand
2020-12-03,12648.91,New Zealand
2020-12-02,12728.69,New Zealand
2020-12-01,12729.91,New Zealand
2020-11-30,12768.52,New Zealand
2020-11-27,12639.83,New Zealand
2020-11-26,12602.02,New Zealand
2020-11-25,12667.98,New Zealand
2020-11-24,12553.38,New Zealand
2020-11-23,12501.74,New Zealand
2020-11-20,12441.81,New Zealand
2020-11-19,12557.13,New Zealand
2020-11-18,12605.96,New Zealand
2020-11-17,12765.03,New Zealand
2020-11-16,12744.92,New Zealand
2020-11-13,12700.17,New Zealand
2020-11-12,12670.62,New Zealand
2020-11-11,12665.63,New Zealand
2020-11-10,12612.39,New Zealand
2020-11-09,12562.2,New Zealand
2020-11-06,12337.02,New Zealand
2020-11-05,12249.98,New Zealand
2020-11-04,12199.93,New Zealand
2020-11-03,12130.31,New Zealand
2020-11-02,12070.83,New Zealand
2020-10-30,12084.47,New Zealand
2020-10-29,12201.8,New Zealand
2020-10-28,12264.52,New Zealand
2020-10-27,12251.91,New Zealand
2020-10-23,12470.34,New Zealand
2020-10-22,12407.29,New Zealand
2020-10-21,12432.61,New Zealand
2020-10-20,12462.05,New Zealand
2020-10-19,12385.25,New Zealand
2020-10-16,12433.16,New Zealand
2020-10-15,12486.73,New Zealand
2020-10-14,12543.61,New Zealand
2020-10-13,12453.85,New Zealand
2020-10-12,12356.89,New Zealand
2020-10-09,12280.54,New Zealand
2020-10-08,12235.92,New Zealand
2020-10-07,12016.15,New Zealand
2020-10-06,11975.02,New Zealand
2020-10-05,11898.26,New Zealand
2020-10-02,11822.84,New Zealand
2020-10-01,11812.73,New Zealand
2020-09-30,11747.28,New Zealand
2020-09-29,11742.09,New Zealand
2020-09-28,11802.29,New Zealand
2020-09-25,11797.08,New Zealand
2020-09-24,11689.89,New Zealand
2020-09-23,11704.62,New Zealand
2020-09-22,11609.22,New Zealand
2020-09-21,11539.1,New Zealand
2020-09-18,11633.52,New Zealand
2020-09-17,11777.13,New Zealand
2020-09-16,11814.71,New Zealand
2020-09-15,11770.75,New Zealand
2020-09-14,11790.54,New Zealand
2020-09-11,11748.03,New Zealand
2020-09-10,11811.78,New Zealand
2020-09-09,11739.11,New Zealand
2020-09-08,11895.63,New Zealand
2020-09-07,11859.45,New Zealand
2020-09-04,11824.31,New Zealand
2020-09-03,12055.05,New Zealand
2020-09-02,11902.98,New Zealand
2020-09-01,11793.16,New Zealand
2020-08-31,11937.56,New Zealand
2020-08-28,12093.52,New Zealand
2020-08-27,12053.43,New Zealand
2020-08-26,12031.51,New Zealand
2020-08-25,11993.18,New Zealand
2020-08-24,11921.07,New Zealand
2020-08-21,11835.94,New Zealand
2020-08-20,11662.16,New Zealand
2020-08-19,11751.29,New Zealand
2020-08-18,11849.13,New Zealand
2020-08-17,11672.95,New Zealand
2020-08-14,11452.14,New Zealand
2020-08-13,11500.82,New Zealand
2020-08-12,11491.91,New Zealand
2020-08-11,11645.32,New Zealand
2020-08-10,11683.44,New Zealand
2020-08-07,11646.68,New Zealand
2020-08-06,11764.59,New Zealand
2020-08-05,11757.72,New Zealand
2020-08-04,11771.72,New Zealand
2020-08-03,11666.09,New Zealand
2020-07-31,11727.63,New Zealand
2020-07-30,11692.02,New Zealand
2020-07-29,11599.44,New Zealand
2020-07-28,11578.27,New Zealand
2020-07-27,11585.62,New Zealand
2020-07-24,11636.26,New Zealand
2020-07-23,11693.41,New Zealand
2020-07-22,11722.97,New Zealand
2020-07-21,11736.73,New Zealand
2020-07-20,11553.16,New Zealand
2020-07-17,11584.05,New Zealand
2020-07-16,11505.06,New Zealand
2020-07-15,11610.52,New Zealand
2020-07-14,11494.14,New Zealand
2020-07-13,11434.79,New Zealand
2020-07-10,11394.86,New Zealand
2020-07-09,11440.88,New Zealand
2020-07-08,11707.27,New Zealand
2020-07-07,11743.73,New Zealand
2020-07-06,11656.21,New Zealand
2020-07-03,11558.7,New Zealand
2020-07-02,11502.52,New Zealand
2020-07-01,11350.27,New Zealand
2020-06-30,11451.05,New Zealand
2020-06-29,11252.54,New Zealand
2020-06-26,11129.23,New Zealand
2020-06-25,11124.36,New Zealand
2020-06-24,11259.41,New Zealand
2020-06-23,11132.58,New Zealand
2020-06-22,11158.46,New Zealand
2020-06-19,11254.74,New Zealand
2020-06-18,11225.28,New Zealand
2020-06-17,11334.31,New Zealand
2020-06-16,10953.85,New Zealand
2020-06-15,10864.12,New Zealand
2020-06-12,10905.94,New Zealand
2020-06-11,11154.93,New Zealand
2020-06-10,11260.52,New Zealand
2020-06-09,11298.69,New Zealand
2020-06-08,11524.16,New Zealand
2020-06-05,11171.66,New Zealand
2020-06-04,11222.8,New Zealand
2020-06-03,11118.27,New Zealand
2020-06-02,11034.17,New Zealand
2020-05-29,10882.41,New Zealand
2020-05-28,10856.69,New Zealand
2020-05-27,11049.19,New Zealand
2020-05-26,10914.74,New Zealand
2020-05-25,10775.8,New Zealand
2020-05-22,10662.63,New Zealand
2020-05-21,10731.55,New Zealand
2020-05-20,10788.06,New Zealand
2020-05-19,10790.14,New Zealand
2020-05-18,10757.94,New Zealand
2020-05-15,10730.68,New Zealand
2020-05-14,10745.16,New Zealand
2020-05-13,10788.03,New Zealand
2020-05-12,10818.67,New Zealand
2020-05-11,10760.29,New Zealand
2020-05-08,10695.59,New Zealand
2020-05-07,10649.23,New Zealand
2020-05-06,10572.84,New Zealand
2020-05-05,10490.73,New Zealand
2020-05-04,10475.98,New Zealand
2020-05-01,10449.01,New Zealand
2020-04-30,10532.07,New Zealand
2020-04-29,10666.19,New Zealand
2020-04-28,10759.56,New Zealand
2020-04-24,10419.48,New Zealand
2020-04-23,10446.11,New Zealand
2020-04-22,10417.67,New Zealand
2020-04-21,10535.87,New Zealand
2020-04-20,10762.67,New Zealand
2020-04-17,10778.72,New Zealand
2020-04-16,10473.19,New Zealand
2020-04-15,10409.94,New Zealand
2020-04-14,10159.02,New Zealand
2020-04-09,9963.9,New Zealand
2020-04-08,10031.66,New Zealand
2020-04-07,9809.85,New Zealand
