location,date,total_cases,total_deaths
New Zealand,2020-02-28,1.0,0.0
New Zealand,2020-02-29,1.0,0.0
New Zealand,2020-03-01,1.0,0.0
New Zealand,2020-03-02,1.0,0.0
New Zealand,2020-03-03,1.0,0.0
New Zealand,2020-03-04,3.0,0.0
New Zealand,2020-03-05,3.0,0.0
New Zealand,2020-03-06,4.0,0.0
New Zealand,2020-03-07,5.0,0.0
New Zealand,2020-03-08,5.0,0.0
New Zealand,2020-03-09,5.0,0.0
New Zealand,2020-03-10,5.0,0.0
New Zealand,2020-03-11,5.0,0.0
New Zealand,2020-03-12,5.0,0.0
New Zealand,2020-03-13,5.0,0.0
New Zealand,2020-03-14,6.0,0.0
New Zealand,2020-03-15,8.0,0.0
New Zealand,2020-03-16,8.0,0.0
New Zealand,2020-03-17,12.0,0.0
New Zealand,2020-03-18,20.0,0.0
New Zealand,2020-03-19,28.0,0.0
New Zealand,2020-03-20,39.0,0.0
New Zealand,2020-03-21,52.0,0.0
New Zealand,2020-03-22,102.0,0.0
New Zealand,2020-03-23,102.0,0.0
New Zealand,2020-03-24,155.0,0.0
New Zealand,2020-03-25,205.0,0.0
New Zealand,2020-03-26,283.0,0.0
New Zealand,2020-03-27,368.0,0.0
New Zealand,2020-03-28,451.0,0.0
New Zealand,2020-03-29,514.0,1.0
New Zealand,2020-03-30,589.0,1.0
New Zealand,2020-03-31,647.0,1.0
New Zealand,2020-04-01,708.0,1.0
New Zealand,2020-04-02,797.0,1.0
New Zealand,2020-04-03,868.0,1.0
New Zealand,2020-04-04,950.0,1.0
New Zealand,2020-04-05,1039.0,1.0
New Zealand,2020-04-06,1106.0,1.0
New Zealand,2020-04-07,1160.0,1.0
New Zealand,2020-04-08,1210.0,1.0
New Zealand,2020-04-09,1239.0,1.0
New Zealand,2020-04-10,1283.0,2.0
New Zealand,2020-04-11,1312.0,4.0
New Zealand,2020-04-12,1330.0,4.0
New Zealand,2020-04-13,1349.0,5.0
New Zealand,2020-04-14,1366.0,9.0
New Zealand,2020-04-15,1386.0,9.0
New Zealand,2020-04-16,1401.0,9.0
New Zealand,2020-04-17,1409.0,11.0
New Zealand,2020-04-18,1422.0,11.0
New Zealand,2020-04-19,1431.0,12.0
New Zealand,2020-04-20,1440.0,12.0
New Zealand,2020-04-21,1445.0,13.0
New Zealand,2020-04-22,1451.0,14.0
New Zealand,2020-04-23,1456.0,17.0
New Zealand,2020-04-24,1461.0,18.0
New Zealand,2020-04-25,1470.0,18.0
New Zealand,2020-04-26,1469.0,19.0
New Zealand,2020-04-27,1472.0,19.0
New Zealand,2020-04-28,1474.0,19.0
New Zealand,2020-04-29,1476.0,19.0
New Zealand,2020-04-30,1479.0,19.0
New Zealand,2020-05-01,1485.0,20.0
New Zealand,2020-05-02,1487.0,20.0
New Zealand,2020-05-03,1487.0,20.0
New Zealand,2020-05-04,1486.0,20.0
New Zealand,2020-05-05,1488.0,21.0
New Zealand,2020-05-06,1489.0,21.0
New Zealand,2020-05-07,1490.0,21.0
New Zealand,2020-05-08,1492.0,21.0
New Zealand,2020-05-09,1494.0,21.0
New Zealand,2020-05-10,1497.0,21.0
New Zealand,2020-05-11,1497.0,21.0
New Zealand,2020-05-12,1497.0,21.0
New Zealand,2020-05-13,1497.0,21.0
New Zealand,2020-05-14,1498.0,21.0
New Zealand,2020-05-15,1498.0,21.0
New Zealand,2020-05-16,1499.0,21.0
New Zealand,2020-05-17,1499.0,21.0
New Zealand,2020-05-18,1499.0,21.0
New Zealand,2020-05-19,1503.0,21.0
New Zealand,2020-05-20,1503.0,21.0
New Zealand,2020-05-21,1504.0,21.0
New Zealand,2020-05-22,1504.0,21.0
New Zealand,2020-05-23,1504.0,21.0
New Zealand,2020-05-24,1504.0,21.0
New Zealand,2020-05-25,1504.0,21.0
New Zealand,2020-05-26,1504.0,21.0
New Zealand,2020-05-27,1504.0,22.0
New Zealand,2020-05-28,1504.0,22.0
New Zealand,2020-05-29,1504.0,22.0
New Zealand,2020-05-30,1504.0,22.0
New Zealand,2020-05-31,1504.0,22.0
New Zealand,2020-06-01,1504.0,22.0
New Zealand,2020-06-02,1504.0,22.0
New Zealand,2020-06-03,1504.0,22.0
New Zealand,2020-06-04,1504.0,22.0
New Zealand,2020-06-05,1504.0,22.0
New Zealand,2020-06-06,1504.0,22.0
New Zealand,2020-06-07,1504.0,22.0
New Zealand,2020-06-08,1504.0,22.0
New Zealand,2020-06-09,1504.0,22.0
New Zealand,2020-06-10,1504.0,22.0
New Zealand,2020-06-11,1504.0,22.0
New Zealand,2020-06-12,1504.0,22.0
New Zealand,2020-06-13,1504.0,22.0
New Zealand,2020-06-14,1504.0,22.0
New Zealand,2020-06-15,1506.0,22.0
New Zealand,2020-06-16,1506.0,22.0
